folder,filename,type,is_watercolor,confidence,processed_frames,planned_frames,total_frames,watercolor_frames_count,watercolor_frames_percent,avg_watercolor_confidence
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-191510000+1.mov,video,True,0.8570761146644751,48,482,13969,48,1.0,0.8570761146644751
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251021-202802000.mov,video,True,0.9850972986221314,50,507,14688,50,1.0,0.9850972986221314
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-131404000+2.mov,video,True,0.9708120597733392,45,45,1303,45,1.0,0.9708120597733392
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-140820000.mov,video,False,0.474949209690094,25,25,699,12,0.48,0.7733642806609472
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251107-180148000+1.mov,video,True,0.9853976552303021,13,13,376,13,1.0,0.9853976552303021
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251025-125031000.mov,video,True,0.8298914548138092,116,1164,33727,112,0.9655172413793104,0.8431482820638588
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-131404000+3.mov,video,True,0.9952112257480621,40,404,11698,40,1.0,0.9952112257480621
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-141541000.mov,video,True,0.5721924069803208,8,8,225,4,0.5,0.9936776757240295
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-163010000.mov,video,False,0.37879837186712967,19,19,524,6,0.3157894736842105,0.9380310674508413
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251002-171234000+1.mov,video,True,0.631349859552251,18,18,510,11,0.6111111111111112,0.911242197860371
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251010-162453000.mov,video,True,0.8348314251218524,7,7,191,7,1.0,0.8348314251218524
